cif,tran_datetime,tran_amount_equal,gap_minutes,target
N0,2025-09-01 00:00:00,59832.0,33.37,0
N1,2025-09-01 00:01:00,78215.0,76.27,0
N2,2025-09-01 00:02:00,191750.0,8.68,0
N3,2025-09-01 00:03:00,71258.0,18.85,0
N4,2025-09-01 00:04:00,51705.0,33.09,0
N5,2025-09-01 00:05:00,29182.0,313.25,0
N6,2025-09-01 00:06:00,101827.0,147.48,0
N7,2025-09-01 00:07:00,43515.0,29.74,0
N8,2025-09-01 00:08:00,26121.0,78.54,0
N9,2025-09-01 00:09:00,114780.0,44.93,0
N10,2025-09-01 00:10:00,60795.0,12.92,0
N11,2025-09-01 00:11:00,136770.0,15.99,0
N12,2025-09-01 00:12:00,117174.0,12.76,0
N13,2025-09-01 00:13:00,60158.0,33.49,0
N14,2025-09-01 00:14:00,112048.0,42.87,0
N15,2025-09-01 00:15:00,403273.0,6.11,0
N16,2025-09-01 00:16:00,30747.0,106.0,0
N17,2025-09-01 00:17:00,41487.0,37.98,0
N18,2025-09-01 00:18:00,90809.0,31.07,0
N19,2025-09-01 00:19:00,110736.0,26.36,0
N20,2025-09-01 00:20:00,145589.0,179.28,0
N21,2025-09-01 00:21:00,37574.0,30.3,0
N22,2025-09-01 00:22:00,192684.0,30.52,0
N23,2025-09-01 00:23:00,103504.0,75.03,0
N24,2025-09-01 00:24:00,75393.0,36.57,0
N25,2025-09-01 00:25:00,20294.0,80.01,0
N26,2025-09-01 00:26:00,204023.0,39.92,0
N27,2025-09-01 00:27:00,38144.0,39.11,0
N28,2025-09-01 00:28:00,35417.0,121.58,0
N29,2025-09-01 00:29:00,135815.0,34.41,0
N30,2025-09-01 00:30:00,100772.0,14.87,0
N31,2025-09-01 00:31:00,104011.0,10.39,0
N32,2025-09-01 00:32:00,675129.0,38.73,0
N33,2025-09-01 00:33:00,41260.0,13.93,0
N34,2025-09-01 00:34:00,239761.0,77.37,0
N35,2025-09-01 00:35:00,111939.0,48.34,0
N36,2025-09-01 00:36:00,747360.0,26.82,0
N37,2025-09-01 00:37:00,121258.0,19.03,0
N38,2025-09-01 00:38:00,75470.0,34.02,0
N39,2025-09-01 00:39:00,71355.0,66.15,0
N40,2025-09-01 00:40:00,64831.0,86.28,0
N41,2025-09-01 00:41:00,36798.0,11.09,0
N42,2025-09-01 00:42:00,296378.0,245.07,0
N43,2025-09-01 00:43:00,52761.0,19.2,0
N44,2025-09-01 00:44:00,71425.0,11.22,0
N45,2025-09-01 00:45:00,90806.0,172.81,0
